Sample;Pos
pol.AL.dirt.L;A1
pol.AL.dirt.R;B1
cot.AL.dirt.L;C1
cot.AL.dirt.R;D1
pol.AL.wash.L;E1
pol.AL.wash.R;F1
cot.AL.wash.L;G1
cot.AL.wash.R;H1
pol.AM.dirt.L;A2
pol.AM.dirt.R;B2
cot.AM.dirt.L;C2
cot.AM.dirt.R;D2
pol.AM.wash.L;E2
pol.AM.wash.R;F2
cot.AM.wash.L;G2
cot.AM.wash.R;H2
pol.AN.dirt.L;A3
pol.AN.dirt.R;B3
cot.AN.dirt.L;C3
cot.AN.dirt.R;D3
pol.AN.wash.L;E3
pol.AN.wash.R;F3
cot.AN.wash.L;G3
cot.AN.wash.R;H3
pol.BR.dirt.L;A4
pol.BR.dirt.R;B4
cot.BR.dirt.L;C4
cot.BR.dirt.R;D4
pol.BR.wash.L;E4
pol.BR.wash.R;F4
cot.BR.wash.L;G4
cot.BR.wash.R;H4
pol.CH.dirt.L;A5
pol.CH.dirt.R;B5
cot.CH.dirt.L;C5
cot.CH.dirt.R;D5
pol.CH.wash.L;E5
pol.CH.wash.R;F5
cot.CH.wash.L;G5
cot.CH.wash.R;H5
pol.MA.dirt.L;A6
pol.MA.dirt.R;B6
cot.MA.dirt.L;C6
cot.MA.dirt.R;D6
pol.MA.wash.L;E6
pol.MA.wash.R;F6
cot.MA.wash.L;G6
cot.MA.wash.R;H6
pol.SI.dirt.L;A7
pol.SI.dirt.R;B7
cot.SI.dirt.L;C7
cot.SI.dirt.R;D7
pol.SI.wash.L;E7
pol.SI.wash.R;F7
cot.SI.wash.L;G7
cot.SI.wash.R;H7
pol.RA.dirt.L;A8
pol.RA.dirt.R;B8
cot.RA.dirt.L;C8
pol.RA.wash.L;D8
cot.RA.dirt.R;E8
pol.RA.wash.R;F8
cot.RA.wash.L;G8
cot.RA.wash.R;H8
pol.RU.dirt.L;A9
pol.RU.dirt.R;B9
cot.RU.dirt.L;C9
pol.RU.wash.L;D9
cot.RU.dirt.R;E9
pol.RU.wash.R;F9
cot.RU.wash.L;G9
cot.RU.wash.R;H9
pol.SA.dirt.L;A10
pol.SA.dirt.R;B10
cot.SA.dirt.L;C10
cot.SA.dirt.R;D10
pol.SA.wash.L;E10
pol.SA.wash.R;F10
cot.SA.wash.L;G10
cot.SA.wash.R;H10
pol.CH.MA.RU.SA.prewash;A11
cot.CH.MA.RU.SA.prewash;B11
pol.AL.SI.prewash;C11
cot.AL.SI.prewash;D11
pol.AL.SI.prewash.wash;E11
cot.AL.SI.prewash.wash;F11
pol.AN.RA.prewash;G11
cot.AN.RA.prewash;H11
pol.AN.RA.prewash.wash;A12
cot.AN.RA.prewash.wash;B12
pol.AM.BR.prewash;C12
cot.AM.BR.prewash;D12
pol.AM.BR.prewash.wash;E12
cot.AM.BR.prewash.wash;F12
pol.CH.MA.RU.SA.prewash.wash;G12
cot.CH.MA.RU.SA.prewash.wash;H12
