Position;Sample Name;Gene Name;Cq   ;Concentration;Call    ;Excluded ;Sample Type     ;Standard;Cq Mean;Cq Error;Concentration Mean;Concentration Error;Replicate Group;Dye         ;Edited Call;Slope;EPF  ;Failure             ;Notes;Sample Prep Notes;Number
A1      ;standard   ;None     ;-    ;-            ;-       ;Checked  ;Standard        ;-       ;-      ;-       ;-                 ;-                  ;A1             ;SYBR Green I;           ;-    ;-    ;                    ;     ;                 ;1
A2      ;standard   ;None     ;-    ;-            ;-       ;Checked  ;Standard        ;-       ;-      ;-       ;-                 ;-                  ;A1             ;SYBR Green I;           ;-    ;-    ;                    ;     ;                 ;2
A3      ;A10;None     ;12.49;4.35E+05;Positive;Unchecked;Unknown         ;-       ;12.49;0;4.35E+05;0.00E+00;               ;SYBR Green I;           ;1.42;5.17;None                ;     ;                 ;3
A4      ;A10;None     ;12.53;4.24E+05;Positive;Unchecked;Unknown         ;-       ;12.53;0;4.24E+05;0.00E+00;               ;SYBR Green I;           ;1.45;5.22;None                ;     ;                 ;4
A5      ;A10;None     ;12.58;4.10E+05;Positive;Unchecked;Unknown         ;-       ;12.58;0;4.10E+05;0.00E+00;               ;SYBR Green I;           ;1.38;5.11;None                ;     ;                 ;5
A6      ;A11;None     ;19.92;3.22E+03;Positive;Unchecked;Unknown         ;-       ;19.92;0;3.22E+03;0.00E+00;               ;SYBR Green I;           ;0.8;4.41;None                ;     ;                 ;6
A7      ;A11;None     ;20.28;2.54E+03;Positive;Unchecked;Unknown         ;-       ;20.28;0;2.54E+03;0.00E+00;               ;SYBR Green I;           ;0.82;4.51;None                ;     ;                 ;7
A8      ;A11;None     ;19.79;3.51E+03;Positive;Unchecked;Unknown         ;-       ;19.79;0;3.51E+03;0.00E+00;               ;SYBR Green I;           ;0.81;4.46;None                ;     ;                 ;8
A9      ;A12;None     ;19.44;4.42E+03;Positive;Unchecked;Unknown         ;-       ;19.44;0;4.42E+03;0.00E+00;               ;SYBR Green I;           ;1.02;5;None                ;     ;                 ;9
A10     ;A12;None     ;19.35;4.69E+03;Positive;Unchecked;Unknown         ;-       ;19.35;0;4.69E+03;0.00E+00;               ;SYBR Green I;           ;1.01;4.98;None                ;     ;                 ;10
A11     ;A12;None     ;19.15;5.36E+03;Positive;Unchecked;Unknown         ;-       ;19.15;0;5.36E+03;0.00E+00;               ;SYBR Green I;           ;0.97;4.9;None                ;     ;                 ;11
A12     ;TOM;None     ;19.67;3.80E+03;Positive;Unchecked;Unknown         ;-       ;19.67;0;3.80E+03;0.00E+00;               ;SYBR Green I;           ;0.81;4.4;None                ;     ;                 ;12
B1      ;standard   ;None     ;-    ;-            ;-       ;Checked  ;Standard        ;-       ;-      ;-       ;-                 ;-                  ;B1             ;SYBR Green I;           ;-    ;-    ;                    ;     ;                 ;13
B2      ;standard   ;None     ;-    ;-            ;-       ;Checked  ;Standard        ;-       ;-      ;-       ;-                 ;-                  ;B1             ;SYBR Green I;           ;-    ;-    ;                    ;     ;                 ;14
B3      ;B10;None     ;12.02;5.94E+05;Positive;Unchecked;Unknown         ;-       ;12.02;0;5.94E+05;0.00E+00;               ;SYBR Green I;           ;1.34;5.1;None                ;     ;                 ;15
B4      ;B10;None     ;11.96;6.18E+05;Positive;Unchecked;Unknown         ;-       ;11.96;0;6.18E+05;0.00E+00;               ;SYBR Green I;           ;1.46;5.3;None                ;     ;                 ;16
B5      ;B10;None     ;12.11;5.60E+05;Positive;Unchecked;Unknown         ;-       ;12.11;0;5.60E+05;0.00E+00;               ;SYBR Green I;           ;1.33;5.04;None                ;     ;                 ;17
B6      ;B11;None     ;19.86;3.35E+03;Positive;Unchecked;Unknown         ;-       ;19.86;0;3.35E+03;0.00E+00;               ;SYBR Green I;           ;0.84;4.47;None                ;     ;                 ;18
B7      ;B11;None     ;14.86;9.10E+04;Positive;Unchecked;Unknown         ;-       ;14.86;0;9.10E+04;0.00E+00;               ;SYBR Green I;           ;1.62;5.52;None                ;     ;                 ;19
