Position;Sample Name;Gene Name;Cq   ;Concentration;Call    ;Excluded ;Sample Type     ;Standard;Cq Mean;Cq Error;Concentration Mean;Concentration Error;Replicate Group;Dye         ;Edited Call;Slope;EPF ;Failure             ;Notes;Sample Prep Notes;Number
A1      ;standard   ;None     ;-    ;-            ;-       ;Checked  ;Standard        ;-       ;-      ;-       ;-                 ;-                  ;A1             ;SYBR Green I;           ;-    ;-   ;                    ;     ;                 ;1
A2      ;standard   ;None     ;-    ;-            ;-       ;Checked  ;Standard        ;-       ;-      ;-       ;-                 ;-                  ;A1             ;SYBR Green I;           ;-    ;-   ;                    ;     ;                 ;2
A3      ;A7;None     ;8.64;4.33E+06;Positive;Unchecked;Unknown         ;-       ;8.64;0;4.33E+06;0.00E+00;               ;SYBR Green I;           ;0.83;3.61;None                ;     ;                 ;3
A4      ;A7;None     ;8.65;4.30E+06;Positive;Unchecked;Unknown         ;-       ;8.65;0;4.30E+06;0.00E+00;               ;SYBR Green I;           ;0.82;3.66;None                ;     ;                 ;4
A5      ;A7;None     ;8.61;4.41E+06;Positive;Unchecked;Unknown         ;-       ;8.61;0;4.41E+06;0.00E+00;               ;SYBR Green I;           ;0.79;3.5;None                ;     ;                 ;5
A6      ;A8;None     ;16.58;2.44E+04;Positive;Unchecked;Unknown         ;-       ;16.58;0;2.44E+04;0.00E+00;               ;SYBR Green I;           ;1.01;4.42;None                ;     ;                 ;6
A7      ;A8;None     ;16.67;2.30E+04;Positive;Unchecked;Unknown         ;-       ;16.67;0;2.30E+04;0.00E+00;               ;SYBR Green I;           ;1;4.42;None                ;     ;                 ;7
A8      ;A8;None     ;16.73;2.21E+04;Positive;Unchecked;Unknown         ;-       ;16.73;0;2.21E+04;0.00E+00;               ;SYBR Green I;           ;1.01;4.45;None                ;     ;                 ;8
A9      ;A9;None     ;17.61;1.25E+04;Positive;Unchecked;Unknown         ;-       ;17.61;0;1.25E+04;0.00E+00;               ;SYBR Green I;           ;0.7;4.15;None                ;     ;                 ;9
A10     ;A9;None     ;17.47;1.37E+04;Positive;Unchecked;Unknown         ;-       ;17.47;0;1.37E+04;0.00E+00;               ;SYBR Green I;           ;0.7;4.14;None                ;     ;                 ;10
A11     ;A9;None     ;17.64;1.22E+04;Positive;Unchecked;Unknown         ;-       ;17.64;0;1.22E+04;0.00E+00;               ;SYBR Green I;           ;0.67;4.03;None                ;     ;                 ;11
A12     ;JR2;None     ;15.46;5.07E+04;Positive;Unchecked;Unknown         ;-       ;15.46;0;5.07E+04;0.00E+00;               ;SYBR Green I;           ;1.28;4.81;None                ;     ;                 ;12
B1      ;standard   ;None     ;-    ;-            ;-       ;Checked  ;Standard        ;-       ;-      ;-       ;-                 ;-                  ;B1             ;SYBR Green I;           ;-    ;-   ;                    ;     ;                 ;13
B2      ;standard   ;None     ;-    ;-            ;-       ;Checked  ;Standard        ;-       ;-      ;-       ;-                 ;-                  ;B1             ;SYBR Green I;           ;-    ;-   ;                    ;     ;                 ;14
B3      ;B7;None     ;9.31;2.80E+06;Positive;Unchecked;Unknown         ;-       ;9.31;0;2.80E+06;0.00E+00;               ;SYBR Green I;           ;0.77;3.4;None                ;     ;                 ;15
B4      ;B7;None     ;9.26;2.89E+06;Positive;Unchecked;Unknown         ;-       ;9.26;0;2.89E+06;0.00E+00;               ;SYBR Green I;           ;0.85;3.67;None                ;     ;                 ;16
B5      ;B7;None     ;9.38;2.67E+06;Positive;Unchecked;Unknown         ;-       ;9.38;0;2.67E+06;0.00E+00;               ;SYBR Green I;           ;0.86;3.63;None                ;     ;                 ;17
B6      ;B8;None     ;16.36;2.82E+04;Positive;Unchecked;Unknown         ;-       ;16.36;0;2.82E+04;0.00E+00;               ;SYBR Green I;           ;1.09;4.6;None                ;     ;                 ;18
B7      ;B8;None     ;16.33;2.87E+04;Positive;Unchecked;Unknown         ;-       ;16.33;0;2.87E+04;0.00E+00;               ;SYBR Green I;           ;1.07;4.6;None                ;     ;                 ;19
